date,Korčok Ivan,Pellegrini Peter,Mistrík Robert,Kubiš Ján,Fico Robert,Lajčák Miroslav
28. 11. 23,36.4,50.4,1.5,8.6,3.1,
29. 11. 23,36.0,50.9,1.5,8.5,3.1,
30. 11. 23,36.0,50.9,1.5,8.5,3.1,
1. 12. 23,37.9,54.3,1.2,5.4,1.2,
2. 12. 23,37.9,54.3,1.2,5.4,1.2,
3. 12. 23,37.9,54.3,1.2,5.4,1.2,
4. 12. 23,36.9,56.0,1.0,5.0,1.0,
5. 12. 23,35.6,60.1,,4.4,,
6. 12. 23,35.6,60.1,,4.4,,
7. 12. 23,35.6,60.1,,4.4,,
8. 12. 23,35.6,60.1,,4.4,,
9. 12. 23,35.6,60.1,,4.4,,
10. 12. 23,35.6,60.1,,4.4,,
11. 12. 23,35.6,60.1,,4.4,,
12. 12. 23,35.6,60.1,,4.4,,
13. 12. 23,35.6,60.1,,4.4,,
14. 12. 23,35.6,60.1,,4.4,,
15. 12. 23,37.0,58.6,,4.3,,
16. 12. 23,37.8,57.9,,4.3,,
17. 12. 23,37.8,57.9,,4.3,,
18. 12. 23,37.8,57.9,,4.3,,
19. 12. 23,38.2,57.5,,4.4,,
20. 12. 23,40.5,55.9,,3.5,,
21. 12. 23,41.2,55.3,,3.5,,
22. 12. 23,41.0,55.7,,3.3,,
23. 12. 23,40.7,56.4,,2.9,,
24. 12. 23,40.7,56.4,,2.9,,
25. 12. 23,40.7,56.4,,2.9,,
26. 12. 23,40.7,56.4,,2.9,,
27. 12. 23,40.7,56.4,,2.9,,
28. 12. 23,40.7,56.4,,2.9,,
29. 12. 23,40.7,56.4,,2.9,,
30. 12. 23,40.9,56.4,,2.7,,
31. 12. 23,40.7,56.6,,2.7,,
1. 1. 24,41.2,56.1,,2.7,,
2. 1. 24,41.2,56.3,,2.5,,
3. 1. 24,38.6,59.6,,1.8,,
4. 1. 24,36.7,61.8,,1.5,,
5. 1. 24,35.6,62.9,,1.5,,
6. 1. 24,35.5,63.0,,1.5,,
7. 1. 24,35.8,62.7,,1.5,,
8. 1. 24,37.1,61.5,,1.3,,
9. 1. 24,37.8,62.2,,,,
10. 1. 24,35.9,64.1,,,,
11. 1. 24,35.9,64.1,,,,
12. 1. 24,36.4,63.6,,,,
13. 1. 24,36.8,63.2,,,,
14. 1. 24,37.6,62.4,,,,
15. 1. 24,38.5,61.5,,,,
16. 1. 24,38.6,61.4,,,,
17. 1. 24,42.0,58.0,,,,
18. 1. 24,43.2,56.8,,,,
19. 1. 24,42.0,58.0,,,,
20. 1. 24,42.5,57.5,,,,
21. 1. 24,42.1,57.9,,,,
22. 1. 24,40.5,59.5,,,,
23. 1. 24,40.1,59.9,,,,
24. 1. 24,40.6,59.4,,,,
25. 1. 24,40.7,59.3,,,,
26. 1. 24,40.9,59.1,,,,
27. 1. 24,40.3,59.7,,,,
28. 1. 24,39.5,60.5,,,,
29. 1. 24,38.1,61.9,,,,
30. 1. 24,36.7,63.3,,,,
31. 1. 24,36.7,63.3,,,,
1. 2. 24,36.7,63.3,,,,
2. 2. 24,37.1,62.9,,,,
3. 2. 24,38.3,61.7,,,,
4. 2. 24,38.5,61.5,,,,
5. 2. 24,37.7,62.3,,,,
6. 2. 24,37.6,62.4,,,,
7. 2. 24,38.3,61.7,,,,
8. 2. 24,40.3,59.7,,,,
9. 2. 24,44.2,55.8,,,,
10. 2. 24,45.9,54.1,,,,
11. 2. 24,45.7,54.3,,,,
12. 2. 24,45.7,54.3,,,,
13. 2. 24,45.8,54.2,,,,
14. 2. 24,46.7,53.3,,,,
15. 2. 24,47.0,53.0,,,,
16. 2. 24,46.8,53.2,,,,
17. 2. 24,45.7,54.3,,,,
18. 2. 24,46.8,53.2,,,,
19. 2. 24,47.2,52.8,,,,
20. 2. 24,47.5,52.5,,,,
21. 2. 24,46.1,53.9,,,,
22. 2. 24,43.1,56.9,,,,
23. 2. 24,41.3,58.7,,,,
24. 2. 24,40.0,60.0,,,,
25. 2. 24,39.9,60.1,,,,
26. 2. 24,37.7,62.3,,,,
27. 2. 24,37.8,62.2,,,,
28. 2. 24,37.7,62.3,,,,
29. 2. 24,37.2,62.8,,,,
1. 3. 24,37.9,62.1,,,,
2. 3. 24,39.5,60.5,,,,
3. 3. 24,39.5,60.5,,,,
4. 3. 24,39.6,60.4,,,,
5. 3. 24,39.5,60.5,,,,
6. 3. 24,39.0,61.0,,,,
7. 3. 24,38.8,61.2,,,,
8. 3. 24,38.2,61.8,,,,
9. 3. 24,38.2,61.8,,,,
10. 3. 24,38.2,61.8,,,,
11. 3. 24,37.8,62.2,,,,
12. 3. 24,36.8,63.2,,,,
13. 3. 24,36.4,63.6,,,,
14. 3. 24,35.8,64.2,,,,
15. 3. 24,33.1,66.9,,,,
16. 3. 24,32.2,67.8,,,,
17. 3. 24,32.2,67.8,,,,
18. 3. 24,31.2,68.8,,,,
19. 3. 24,31.0,69.0,,,,
20. 3. 24,30.4,69.6,,,,
21. 3. 24,28.9,71.1,,,,
22. 3. 24,28.6,71.4,,,,
23. 3. 24,31.3,68.7,,,,
24. 3. 24,50.1,49.9,,,,
25. 3. 24,51.1,48.9,,,,
26. 3. 24,50.8,49.2,,,,
27. 3. 24,51.4,48.6,,,,
28. 3. 24,51.2,48.8,,,,
29. 3. 24,51.3,48.7,,,,
30. 3. 24,53.5,46.5,,,,
31. 3. 24,55.3,44.7,,,,
